"countryname","years","region"
"monaco",89.8,"Europe"
"singapore",86.7,"East and Southeast Asia"
"macau",85.3,"East and Southeast Asia"
"japan",85.2,"East and Southeast Asia"
"canada",84.2,"North America"
"san-marino",84.2,"Europe"
"hong-kong",84,"East and Southeast Asia"
"iceland",84,"Europe"
"switzerland",83.9,"Europe"
"andorra",83.8,"Europe"
"guernsey",83.6,"Europe"
"malta",83.6,"Europe"
"australia",83.5,"Australia and Oceania"
"luxembourg",83.4,"Europe"
"korea-south",83.4,"East and Southeast Asia"
"israel",83.1,"Middle East"
"jersey",83,"Europe"
"spain",83,"Europe"
"italy",83,"Europe"
"liechtenstein",83,"Europe"
"sweden",82.9,"Europe"
"norway",82.9,"Europe"
"new-zealand",82.9,"Australia and Oceania"
"austria",82.7,"Europe"
"france",82.6,"Europe"
"anguilla",82.6,"Central America and the Caribbean"
"cayman-islands",82.5,"Central America and the Caribbean"
"isle-of-man",82.5,"Europe"
"bermuda",82.5,"North America"
"belgium",82.3,"Europe"
"finland",82.2,"Europe"
"slovenia",82.2,"Europe"
"united-kingdom",82.2,"Europe"
"puerto-rico",82.1,"Central America and the Caribbean"
"denmark",82.1,"Europe"
"ireland",82,"Europe"
"portugal",81.9,"Europe"
"germany",81.9,"Europe"
"netherlands",81.9,"Europe"
"greece",81.9,"Europe"
"saint-pierre-and-miquelon",81.8,"North America"
"faroe-islands",81.7,"Europe"
"taiwan",81.6,"East and Southeast Asia"
"turks-and-caicos-islands",81.3,"Central America and the Caribbean"
"wallis-and-futuna",81.1,"Australia and Oceania"
"saint-martin",81,"Central America and the Caribbean"
"saint-barthelemy",81,"Central America and the Caribbean"
"gibraltar",80.9,"Europe"
"united-states",80.9,"North America"
"saint-helena-ascension-and-tristan-da-cunha",80.9,"Africa"
"virgin-islands",80.7,"Central America and the Caribbean"
"bahrain",80.4,"Middle East"
"qatar",80.3,"Middle East"
"costa-rica",80.3,"Central America and the Caribbean"
"chile",80.3,"South America"
"cyprus",80.2,"Europe"
"british-virgin-islands",80.1,"Central America and the Caribbean"
"cuba",80.1,"Central America and the Caribbean"
"curacao",79.9,"Central America and the Caribbean"
"united-arab-emirates",79.9,"Middle East"
"albania",79.9,"Europe"
"sint-maarten",79.7,"Central America and the Caribbean"
"kuwait",79.6,"Middle East"
"saint-lucia",79.4,"Central America and the Caribbean"
"new-caledonia",79.3,"Australia and Oceania"
"panama",79.2,"Central America and the Caribbean"
"lebanon",79.2,"Middle East"
"barbados",79,"Central America and the Caribbean"
"french-polynesia",78.9,"Australia and Oceania"
"uruguay",78.9,"South America"
"brunei",78.9,"East and Southeast Asia"
"argentina",78.8,"South America"
"paraguay",78.8,"South America"
"dominica",78.7,"Central America and the Caribbean"
"china",78.7,"East and Southeast Asia"
"czechia",78.6,"Europe"
"bosnia-and-herzegovina",78.5,"Europe"
"aruba",78.5,"Central America and the Caribbean"
"estonia",78.4,"Europe"
"antigua-and-barbuda",78.3,"Central America and the Caribbean"
"thailand",78.2,"East and Southeast Asia"
"montenegro",78.2,"Europe"
"guam",78,"Australia and Oceania"
"tonga",78,"Australia and Oceania"
"algeria",77.9,"Africa"
"croatia",77.7,"Europe"
"libya",77.7,"Africa"
"cook-islands",77.6,"Australia and Oceania"
"saint-kitts-and-nevis",77.6,"Central America and the Caribbean"
"maldives",77.4,"South Asia"
"oman",77.4,"Middle East"
"north-macedonia",77.3,"Europe"
"tunisia",77.3,"Africa"
"slovakia",77.2,"Europe"
"solomon-islands",77.2,"Australia and Oceania"
"saint-vincent-and-the-grenadines",77.2,"Central America and the Caribbean"
"saudi-arabia",77.2,"Middle East"
"northern-mariana-islands",77.1,"Australia and Oceania"
"romania",76.9,"Europe"
"sri-lanka",76.8,"South Asia"
"poland",76.7,"Europe"
"armenia",76.7,"Central Asia"
"turkey-turkiye",76.7,"Middle East"
"bahamas-the",76.7,"Central America and the Caribbean"
"seychelles",76.6,"Africa"
"malaysia",76.6,"East and Southeast Asia"
"trinidad-and-tobago",76.5,"Central America and the Caribbean"
"west-bank",76.5,"Middle East"
"jordan",76.5,"Middle East"
"latvia",76.4,"Europe"
"jamaica",76.3,"Central America and the Caribbean"
"grenada",76.3,"Central America and the Caribbean"
"brazil",76.3,"South America"
"uzbekistan",76.2,"Central Asia"
"vietnam",76.1,"East and Southeast Asia"
"montserrat",76.1,"Central America and the Caribbean"
"lithuania",76.1,"Europe"
"bulgaria",76.1,"Europe"
"hungary",76,"Europe"
"azerbaijan",75.9,"Central Asia"
"el-salvador",75.9,"Central America and the Caribbean"
"american-samoa",75.8,"Australia and Oceania"
"vanuatu",75.7,"Australia and Oceania"
"samoa",75.7,"Australia and Oceania"
"iran",75.6,"Middle East"
"gaza-strip",75.5,"Middle East"
"mauritius",75.4,"Africa"
"serbia",75.3,"Europe"
"bangladesh",75.2,"South Asia"
"marshall-islands",75.2,"Australia and Oceania"
"palau",75.2,"Australia and Oceania"
"egypt",75,"Africa"
"micronesia-federated-states-of",75,"Australia and Oceania"
"colombia",74.9,"South America"
"ecuador",74.9,"South America"
"fiji",74.8,"Australia and Oceania"
"syria",74.8,"Middle East"
"belarus",74.7,"Europe"
"nicaragua",74.7,"Central America and the Caribbean"
"mexico",74.6,"North America"
"greenland",74.5,"North America"
"venezuela",74.5,"South America"
"belize",74.3,"Central America and the Caribbean"
"cabo-verde",74.3,"Africa"
"morocco",74.2,"Africa"
"iraq",73.7,"Middle East"
"bhutan",73.7,"South Asia"
"indonesia",73.6,"East and Southeast Asia"
"guatemala",73.5,"Central America and the Caribbean"
"korea-north",73.5,"East and Southeast Asia"
"kazakhstan",73.3,"Central Asia"
"honduras",73.1,"Central America and the Caribbean"
"kosovo",73.1,"Europe"
"nepal",73,"South Asia"
"malawi",73,"Africa"
"congo-republic-of-the",72.9,"Africa"
"kyrgyzstan",72.9,"Central Asia"
"georgia",72.8,"Central Asia"
"suriname",72.7,"South America"
"dominican-republic",72.6,"Central America and the Caribbean"
"bolivia",72.5,"South America"
