"countryname","deaths.100000.live.births","region"
"nigeria",993,"Africa"
"chad",748,"Africa"
"south-sudan",692,"Africa"
"central-african-republic",692,"Africa"
"liberia",628,"Africa"
"somalia",563,"Africa"
"afghanistan",521,"South Asia"
"benin",518,"Africa"
"guinea-bissau",505,"Africa"
"guinea",494,"Africa"
"lesotho",478,"Africa"
"madagascar",445,"Africa"
"congo-democratic-republic-of-the",427,"Africa"
"burundi",392,"Africa"
"mauritania",381,"Africa"
"kenya",379,"Africa"
"mali",367,"Africa"
"cote-divoire",359,"Africa"
"zimbabwe",358,"Africa"
"gambia-the",354,"Africa"
"sierra-leone",354,"Africa"
"niger",350,"Africa"
"togo",349,"Africa"
"haiti",328,"Central America and the Caribbean"
"eritrea",291,"Africa"
"tanzania",276,"Africa"
"nauru",273,"Australia and Oceania"
"cameroon",258,"Africa"
"sudan",256,"Africa"
"burkina-faso",242,"Africa"
"congo-republic-of-the",241,"Africa"
"senegal",237,"Africa"
"ghana",234,"Africa"
"gabon",233,"Africa"
"rwanda",229,"Africa"
"venezuela",227,"South America"
"malawi",225,"Africa"
"ethiopia",195,"Africa"
"timor-leste",192,"East and Southeast Asia"
"papua-new-guinea",189,"East and Southeast Asia"
"burma",185,"East and Southeast Asia"
"angola",183,"Africa"
"comoros",179,"Africa"
"equatorial-guinea",174,"Africa"
"uganda",170,"Africa"
"tuvalu",170,"Australia and Oceania"
"djibouti",162,"Africa"
"pakistan",155,"South Asia"
"marshall-islands",155,"Australia and Oceania"
"botswana",155,"Africa"
"bolivia",146,"South America"
"nepal",142,"South Asia"
"indonesia",140,"East and Southeast Asia"
"namibia",139,"Africa"
"cambodia",137,"East and Southeast Asia"
"jamaica",130,"Central America and the Caribbean"
"micronesia-federated-states-of",129,"Australia and Oceania"
"dominican-republic",124,"Central America and the Caribbean"
"solomon-islands",123,"Australia and Oceania"
"south-africa",118,"Africa"
"eswatini",118,"Africa"
"yemen",118,"Middle East"
"bangladesh",115,"South Asia"
"laos",112,"East and Southeast Asia"
"samoa",101,"Australia and Oceania"
"vanuatu",100,"Australia and Oceania"
"guatemala",94,"Central America and the Caribbean"
"palau",89,"Australia and Oceania"
"zambia",85,"Africa"
"philippines",84,"East and Southeast Asia"
"suriname",84,"South America"
"mozambique",82,"Africa"
"kiribati",80,"Australia and Oceania"
"india",80,"South Asia"
"bahamas-the",76,"Central America and the Caribbean"
"guyana",75,"South America"
"sao-tome-and-principe",75,"Africa"
"saint-kitts-and-nevis",74,"Central America and the Caribbean"
"morocco",70,"Africa"
"belize",67,"Central America and the Caribbean"
"korea-north",67,"East and Southeast Asia"
"tonga",67,"Australia and Oceania"
"brazil",67,"South America"
"iraq",66,"Middle East"
"mauritius",66,"Africa"
"algeria",62,"Africa"
"nicaragua",60,"Central America and the Caribbean"
"colombia",59,"South America"
"libya",59,"Africa"
